251.189 0.0948261 1e-30 1e-30 0.00793947 0.0868866
275.423 0.0705597 1e-30 1e-30 0.00563366 0.064926
301.995 0.0520845 1e-30 1e-30 0.00408406 0.0480004
331.131 0.0376658 1e-30 1e-30 0.00274919 0.0349166
363.078 0.026437 1e-30 1e-30 0.00193219 0.0245048
398.107 0.0183952 1e-30 1e-30 0.00140061 0.0169946
436.516 0.012919 1e-30 1e-30 0.000983753 0.0119352
478.63 0.00882463 1e-30 1e-30 0.000690897 0.00813373
524.807 0.00597809 1e-30 1e-30 0.000450373 0.00552772
575.44 0.00416812 1e-30 1e-30 0.00031489 0.00385323
630.957 0.00271113 1e-30 1e-30 0.000212342 0.00249879
691.831 0.00180179 1e-30 1e-30 0.000152326 0.00164946
758.578 0.00125074 1e-30 1e-30 8.0137e-05 0.0011706
831.764 0.000689842 1e-30 1e-30 4.06732e-05 0.000649168
912.011 0.000315239 1e-30 1e-30 1.45193e-05 0.00030072
1000 9.20208e-05 1e-30 1e-30 1e-30 9.20208e-05
1096.48 2.05147e-06 1e-30 1e-30 1e-30 2.05147e-06
1202.26 4e-30 1e-30 1e-30 1e-30 1e-30
1318.26 4e-30 1e-30 1e-30 1e-30 1e-30
1445.44 4e-30 1e-30 1e-30 1e-30 1e-30
1584.89 4e-30 1e-30 1e-30 1e-30 1e-30
1737.8 4e-30 1e-30 1e-30 1e-30 1e-30
1905.46 4e-30 1e-30 1e-30 1e-30 1e-30
2089.3 4e-30 1e-30 1e-30 1e-30 1e-30
2290.87 4e-30 1e-30 1e-30 1e-30 1e-30
2511.89 4e-30 1e-30 1e-30 1e-30 1e-30
2754.23 4e-30 1e-30 1e-30 1e-30 1e-30
3019.95 4e-30 1e-30 1e-30 1e-30 1e-30
3311.31 4e-30 1e-30 1e-30 1e-30 1e-30
3630.78 4e-30 1e-30 1e-30 1e-30 1e-30
3981.07 4e-30 1e-30 1e-30 1e-30 1e-30
4365.16 4e-30 1e-30 1e-30 1e-30 1e-30
4786.3 4e-30 1e-30 1e-30 1e-30 1e-30
5248.07 4e-30 1e-30 1e-30 1e-30 1e-30
5754.4 4e-30 1e-30 1e-30 1e-30 1e-30
6309.57 4e-30 1e-30 1e-30 1e-30 1e-30
6918.31 4e-30 1e-30 1e-30 1e-30 1e-30
7585.78 4e-30 1e-30 1e-30 1e-30 1e-30
8317.64 4e-30 1e-30 1e-30 1e-30 1e-30
9120.11 4e-30 1e-30 1e-30 1e-30 1e-30
10000 4e-30 1e-30 1e-30 1e-30 1e-30
10964.8 4e-30 1e-30 1e-30 1e-30 1e-30
