# Interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
13.600	6.925238e-02	5.172148e-01	2.021591e-07	3.513712e-04
13.610	7.208975e-02	5.254567e-01	2.053669e-07	3.570414e-04
13.620	7.503898e-02	5.338006e-01	2.086478e-07	3.628616e-04
13.630	7.810875e-02	5.201634e-01	2.119145e-07	3.686870e-04
13.640	8.127505e-02	5.280201e-01	2.152930e-07	3.747438e-04
13.650	8.455393e-02	5.361571e-01	2.186589e-07	3.808078e-04
13.660	8.795933e-02	4.930978e-01	2.220678e-07	3.869964e-04
13.670	9.149054e-02	5.010147e-01	2.255382e-07	3.933295e-04
13.680	9.514061e-02	5.091591e-01	2.290065e-07	3.997140e-04
13.690	9.888395e-02	5.006380e-01	2.326032e-07	4.063523e-04
13.700	1.027425e-01	5.082599e-01	2.361850e-07	4.130232e-04
13.710	1.067135e-01	5.159096e-01	2.398471e-07	4.199015e-04
13.720	1.108244e-01	4.749341e-01	2.435010e-07	4.268187e-04
13.730	1.150287e-01	4.825447e-01	2.472728e-07	4.340052e-04
13.740	1.193485e-01	4.902825e-01	2.510390e-07	4.412287e-04
13.750	1.237478e-01	4.780296e-01	2.548579e-07	4.486241e-04
13.760	1.282968e-01	4.854244e-01	2.587463e-07	4.562416e-04
13.770	1.329537e-01	4.924140e-01	2.626372e-07	4.639466e-04
13.780	1.377024e-01	4.536548e-01	2.666667e-07	4.719602e-04
13.790	1.425261e-01	4.610423e-01	2.706897e-07	4.800499e-04
13.800	1.474407e-01	4.685220e-01	2.748026e-07	4.884131e-04
13.810	1.524774e-01	4.606893e-01	2.789170e-07	4.969013e-04
13.820	1.576004e-01	4.673423e-01	2.831572e-07	5.057253e-04
13.830	1.628129e-01	4.740483e-01	2.874016e-07	5.146522e-04
13.840	1.680459e-01	4.374104e-01	2.917109e-07	5.238202e-04
13.850	1.733818e-01	4.444274e-01	2.961016e-07	5.332939e-04
13.860	1.787848e-01	4.513610e-01	3.005033e-07	5.429613e-04
13.870	1.842609e-01	4.398165e-01	3.050572e-07	5.530248e-04
13.880	1.897572e-01	4.461950e-01	3.096164e-07	5.632444e-04
13.890	1.953027e-01	4.525803e-01	3.142779e-07	5.738370e-04
