# Interaction rate with the URB_Protheroe96
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
13.610	2.068043e-13	1.135668e-09	1.113046e-20	7.343158e-17
13.620	2.182651e-13	1.200787e-09	1.172925e-20	7.742051e-17
13.630	2.303645e-13	1.269645e-09	1.236042e-20	8.162728e-17
13.640	2.431383e-13	1.342458e-09	1.302572e-20	8.606386e-17
13.650	2.566244e-13	1.419453e-09	1.372701e-20	9.074288e-17
13.660	2.708626e-13	1.500869e-09	1.446624e-20	9.567765e-17
13.670	2.858951e-13	1.586962e-09	1.524549e-20	1.008822e-16
13.680	3.017664e-13	1.678000e-09	1.606692e-20	1.063715e-16
13.690	3.185237e-13	1.774267e-09	1.693283e-20	1.121610e-16
13.700	3.362166e-13	1.876064e-09	1.784565e-20	1.182673e-16
13.710	3.548977e-13	1.983707e-09	1.880793e-20	1.247079e-16
13.720	3.746224e-13	2.097533e-09	1.982236e-20	1.315011e-16
13.730	3.954494e-13	2.217897e-09	2.089179e-20	1.386664e-16
13.740	4.174406e-13	2.345175e-09	2.201921e-20	1.462242e-16
13.750	4.406614e-13	2.479764e-09	2.320778e-20	1.541962e-16
13.760	4.651808e-13	2.622083e-09	2.446084e-20	1.626052e-16
13.770	4.910721e-13	2.772577e-09	2.578190e-20	1.714753e-16
13.780	5.184122e-13	2.931715e-09	2.717468e-20	1.808319e-16
13.790	5.472827e-13	3.099992e-09	2.864308e-20	1.907018e-16
13.800	5.777697e-13	3.277935e-09	3.019125e-20	2.011134e-16
13.810	6.099641e-13	3.466097e-09	3.182353e-20	2.120965e-16
13.820	6.439622e-13	3.665066e-09	3.354452e-20	2.236827e-16
13.830	6.798655e-13	3.875462e-09	3.535906e-20	2.359054e-16
13.840	7.177813e-13	4.097940e-09	3.727227e-20	2.487995e-16
13.850	7.578229e-13	4.333194e-09	3.928954e-20	2.624023e-16
13.860	8.001103e-13	4.581956e-09	4.141656e-20	2.767530e-16
13.870	8.447699e-13	4.845002e-09	4.365934e-20	2.918927e-16
13.880	8.919356e-13	5.123152e-09	4.602421e-20	3.078653e-16
13.890	9.417487e-13	5.417271e-09	4.851786e-20	3.247167e-16
13.900	9.943586e-13	5.728275e-09	5.114732e-20	3.424956e-16
13.910	1.049923e-12	6.057133e-09	5.392004e-20	3.612533e-16
13.920	1.108609e-12	6.404868e-09	5.684387e-20	3.810440e-16
13.930	1.170592e-12	6.772562e-09	5.992709e-20	4.019249e-16
13.940	1.236060e-12	7.161360e-09	6.317843e-20	4.239564e-16
13.950	1.305207e-12	7.572470e-09	6.660712e-20	4.472022e-16
13.960	1.378244e-12	8.007172e-09	7.022287e-20	4.717297e-16
13.970	1.455389e-12	8.466816e-09	7.403595e-20	4.976098e-16
13.980	1.536874e-12	8.952832e-09	7.805718e-20	5.249177e-16
13.990	1.622945e-12	9.466730e-09	8.229800e-20	5.537325e-16
14.000	1.713862e-12	1.001011e-08	8.677046e-20	5.841378e-16
14.010	1.809899e-12	1.058465e-08	9.148727e-20	6.162220e-16
14.020	1.911344e-12	1.119214e-08	9.646187e-20	6.500782e-16
14.030	2.018505e-12	1.183447e-08	1.017084e-19	6.858048e-16
14.040	2.131705e-12	1.251363e-08	1.072419e-19	7.235057e-16
14.050	2.251286e-12	1.323172e-08	1.130780e-19	7.632908e-16
14.060	2.377609e-12	1.399098e-08	1.192335e-19	8.052757e-16
14.070	2.511057e-12	1.479375e-08	1.257258e-19	8.495828e-16
14.080	2.652032e-12	1.564253e-08	1.325736e-19	8.963414e-16
14.090	2.800962e-12	1.653994e-08	1.397963e-19	9.456876e-16
14.100	2.958299e-12	1.748877e-08	1.474147e-19	9.977657e-16
14.110	3.124517e-12	1.849195e-08	1.554506e-19	1.052728e-15
14.120	3.300122e-12	1.955258e-08	1.639268e-19	1.110734e-15
14.130	3.485645e-12	2.067396e-08	1.728678e-19	1.171954e-15
14.140	3.681651e-12	2.185953e-08	1.822992e-19	1.236567e-15
14.150	3.888732e-12	2.311298e-08	1.922478e-19	1.304763e-15
14.160	4.107519e-12	2.443816e-08	2.027424e-19	1.376740e-15
14.170	4.338677e-12	2.583919e-08	2.138130e-19	1.452710e-15
14.180	4.582907e-12	2.732037e-08	2.254915e-19	1.532895e-15
14.190	4.840952e-12	2.888628e-08	2.378113e-19	1.617531e-15
14.200	5.113598e-12	3.054176e-08	2.508079e-19	1.706865e-15
14.210	5.401674e-12	3.229189e-08	2.645186e-19	1.801161e-15
14.220	5.706058e-12	3.414209e-08	2.789831e-19	1.900695e-15
14.230	6.027677e-12	3.609804e-08	2.942428e-19	2.005760e-15
14.240	6.367510e-12	3.816577e-08	3.103418e-19	2.116665e-15
14.250	6.726595e-12	4.035164e-08	3.273265e-19	2.233736e-15
14.260	7.106026e-12	4.266238e-08	3.452458e-19	2.357319e-15
14.270	7.506962e-12	4.510508e-08	3.641516e-19	2.487776e-15
14.280	7.930626e-12	4.768725e-08	3.840984e-19	2.625492e-15
14.290	8.378312e-12	5.041681e-08	4.051438e-19	2.770875e-15
14.300	8.851389e-12	5.330215e-08	4.273487e-19	2.924352e-15
14.310	9.351303e-12	5.635212e-08	4.507773e-19	3.086377e-15
14.320	9.879581e-12	5.957606e-08	4.754975e-19	3.257429e-15
14.330	1.043784e-11	6.298385e-08	5.015808e-19	3.438013e-15
14.340	1.102779e-11	6.658592e-08	5.291029e-19	3.628663e-15
14.350	1.165124e-11	7.039330e-08	5.581435e-19	3.829943e-15
14.360	1.231010e-11	7.441762e-08	5.887868e-19	4.042449e-15
14.370	1.300638e-11	7.867119e-08	6.211219e-19	4.266812e-15
14.380	1.374222e-11	8.316700e-08	6.552426e-19	4.503695e-15
14.390	1.451987e-11	8.791876e-08	6.912481e-19	4.753801e-15
14.400	1.534173e-11	9.294098e-08	7.292431e-19	5.017872e-15
14.410	1.621032e-11	9.824895e-08	7.693382e-19	5.296693e-15
14.420	1.712830e-11	1.038588e-07	8.116499e-19	5.591090e-15
14.430	1.809849e-11	1.097877e-07	8.563017e-19	5.901940e-15
14.440	1.912387e-11	1.160537e-07	9.034235e-19	6.230167e-15
14.450	2.020760e-11	1.226757e-07	9.531528e-19	6.576746e-15
14.460	2.135301e-11	1.296739e-07	1.005635e-18	6.942711e-15
14.470	2.256362e-11	1.370695e-07	1.061022e-18	7.329149e-15
14.480	2.384315e-11	1.448850e-07	1.119478e-18	7.737214e-15
14.490	2.519556e-11	1.531440e-07	1.181171e-18	8.168121e-15
14.500	2.662499e-11	1.618716e-07	1.246284e-18	8.623155e-15
14.510	2.813586e-11	1.710941e-07	1.315006e-18	9.103676e-15
14.520	2.973282e-11	1.808394e-07	1.387538e-18	9.611118e-15
14.530	3.142080e-11	1.911370e-07	1.464093e-18	1.014700e-14
14.540	3.320500e-11	2.020180e-07	1.544895e-18	1.071291e-14
14.550	3.509092e-11	2.135151e-07	1.630182e-18	1.131056e-14
14.560	3.708439e-11	2.256630e-07	1.720202e-18	1.194173e-14
14.570	3.919156e-11	2.384983e-07	1.815222e-18	1.260830e-14
14.580	4.141893e-11	2.520596e-07	1.915519e-18	1.331228e-14
14.590	4.377339e-11	2.663876e-07	2.021389e-18	1.405578e-14
14.600	4.626221e-11	2.815253e-07	2.133142e-18	1.484102e-14
14.610	4.889309e-11	2.975181e-07	2.251109e-18	1.567036e-14
14.620	5.167416e-11	3.144141e-07	2.375634e-18	1.654629e-14
14.630	5.461403e-11	3.322637e-07	2.507087e-18	1.747145e-14
14.640	5.772178e-11	3.511203e-07	2.645853e-18	1.844860e-14
14.650	6.100704e-11	3.710403e-07	2.792343e-18	1.948068e-14
14.660	6.447997e-11	3.920832e-07	2.946987e-18	2.057081e-14
14.670	6.815134e-11	4.143117e-07	3.110244e-18	2.172226e-14
14.680	7.203251e-11	4.377920e-07	3.282594e-18	2.293849e-14
14.690	7.613552e-11	4.625941e-07	3.464547e-18	2.422318e-14
14.700	8.047307e-11	4.887916e-07	3.656642e-18	2.558019e-14
14.710	8.505861e-11	5.164623e-07	3.859446e-18	2.701361e-14
14.720	8.990637e-11	5.456885e-07	4.073559e-18	2.852776e-14
14.730	9.503139e-11	5.765565e-07	4.299616e-18	3.012723e-14
14.740	1.004496e-10	6.091579e-07	4.538287e-18	3.181683e-14
14.750	1.061777e-10	6.435891e-07	4.790279e-18	3.360167e-14
14.760	1.122336e-10	6.799517e-07	5.056339e-18	3.548714e-14
14.770	1.186360e-10	7.183531e-07	5.337257e-18	3.747895e-14
14.780	1.254049e-10	7.589063e-07	5.633868e-18	3.958312e-14
14.790	1.325612e-10	8.017308e-07	5.947052e-18	4.180602e-14
14.800	1.401273e-10	8.469525e-07	6.277741e-18	4.415438e-14
14.810	1.481265e-10	8.947042e-07	6.626917e-18	4.663531e-14
14.820	1.565839e-10	9.451259e-07	6.995621e-18	4.925634e-14
14.830	1.655256e-10	9.983654e-07	7.384950e-18	5.202541e-14
14.840	1.749795e-10	1.054578e-06	7.796063e-18	5.495092e-14
14.850	1.849751e-10	1.113929e-06	8.230186e-18	5.804175e-14
14.860	1.955433e-10	1.176591e-06	8.688613e-18	6.130729e-14
14.870	2.067171e-10	1.242746e-06	9.172713e-18	6.475745e-14
14.880	2.185312e-10	1.312588e-06	9.683930e-18	6.840273e-14
14.890	2.310225e-10	1.386318e-06	1.022379e-17	7.225420e-14
14.900	2.442299e-10	1.464152e-06	1.079391e-17	7.632358e-14
14.910	2.581944e-10	1.546315e-06	1.139599e-17	8.062325e-14
14.920	2.729595e-10	1.633045e-06	1.203184e-17	8.516632e-14
14.930	2.885713e-10	1.724593e-06	1.270335e-17	8.996660e-14
14.940	3.050784e-10	1.821222e-06	1.341253e-17	9.503874e-14
14.950	3.225323e-10	1.923212e-06	1.416152e-17	1.003982e-13
14.960	3.409872e-10	2.030856e-06	1.495256e-17	1.060613e-13
14.970	3.605009e-10	2.144464e-06	1.578801e-17	1.120454e-13
14.980	3.811340e-10	2.264362e-06	1.667039e-17	1.183686e-13
14.990	4.029510e-10	2.390894e-06	1.760235e-17	1.250504e-13
15.000	4.260198e-10	2.524421e-06	1.858668e-17	1.321111e-13
15.010	4.504124e-10	2.665325e-06	1.962634e-17	1.395723e-13
15.020	4.762049e-10	2.814009e-06	2.072446e-17	1.474569e-13
15.030	5.034778e-10	2.970896e-06	2.188435e-17	1.557888e-13
15.040	5.323161e-10	3.136433e-06	2.310948e-17	1.645937e-13
15.050	5.628098e-10	3.311089e-06	2.440356e-17	1.738986e-13
15.060	5.950540e-10	3.495360e-06	2.577047e-17	1.837317e-13
15.070	6.291494e-10	3.689768e-06	2.721435e-17	1.941235e-13
15.080	6.652025e-10	3.894862e-06	2.873954e-17	2.051055e-13
15.090	7.033256e-10	4.111221e-06	3.035065e-17	2.167116e-13
15.100	7.436378e-10	4.339455e-06	3.205253e-17	2.289774e-13
15.110	7.862650e-10	4.580205e-06	3.385033e-17	2.419404e-13
15.120	8.313402e-10	4.834148e-06	3.574949e-17	2.556405e-13
15.130	8.790040e-10	5.101996e-06	3.775573e-17	2.701198e-13
15.140	9.294054e-10	5.384497e-06	3.987514e-17	2.854226e-13
15.150	9.827017e-10	5.682441e-06	4.211411e-17	3.015961e-13
15.160	1.039059e-09	5.996660e-06	4.447943e-17	3.186900e-13
15.170	1.098654e-09	6.328027e-06	4.697827e-17	3.367568e-13
15.180	1.161672e-09	6.677463e-06	4.961819e-17	3.558521e-13
15.190	1.228310e-09	7.045937e-06	5.240720e-17	3.760348e-13
15.200	1.298776e-09	7.434470e-06	5.535375e-17	3.973668e-13
15.210	1.373291e-09	7.844135e-06	5.846678e-17	4.199140e-13
15.220	1.452086e-09	8.276062e-06	6.175576e-17	4.437457e-13
15.230	1.535407e-09	8.731440e-06	6.523065e-17	4.689355e-13
15.240	1.623516e-09	9.211520e-06	6.890203e-17	4.955610e-13
15.250	1.716687e-09	9.717618e-06	7.278104e-17	5.237043e-13
15.260	1.815210e-09	1.025112e-05	7.687950e-17	5.534521e-13
15.270	1.919394e-09	1.081348e-05	8.120986e-17	5.848964e-13
15.280	2.029564e-09	1.140624e-05	8.578531e-17	6.181342e-13
15.290	2.146063e-09	1.203100e-05	9.061978e-17	6.532681e-13
15.300	2.269255e-09	1.268947e-05	9.572799e-17	6.904066e-13
15.310	2.399524e-09	1.338342e-05	1.011255e-16	7.296645e-13
15.320	2.537278e-09	1.411473e-05	1.068288e-16	7.711631e-13
15.330	2.682945e-09	1.488538e-05	1.128553e-16	8.150308e-13
15.340	2.836981e-09	1.569745e-05	1.192233e-16	8.614031e-13
15.350	2.999866e-09	1.655310e-05	1.259524e-16	9.104236e-13
15.360	3.172107e-09	1.745464e-05	1.330629e-16	9.622438e-13
15.370	3.354243e-09	1.840448e-05	1.405768e-16	1.017024e-12
15.380	3.546841e-09	1.940515e-05	1.485169e-16	1.074935e-12
15.390	3.750502e-09	2.045933e-05	1.569076e-16	1.136154e-12
15.400	3.965860e-09	2.156980e-05	1.657744e-16	1.200872e-12
15.410	4.193587e-09	2.273951e-05	1.751445e-16	1.269290e-12
15.420	4.434393e-09	2.397157e-05	1.850467e-16	1.341619e-12
15.430	4.689028e-09	2.526921e-05	1.955113e-16	1.418084e-12
15.440	4.958285e-09	2.663586e-05	2.065702e-16	1.498921e-12
15.450	5.243003e-09	2.807511e-05	2.182575e-16	1.584382e-12
15.460	5.544069e-09	2.959073e-05	2.306089e-16	1.674731e-12
15.470	5.862421e-09	3.118667e-05	2.436623e-16	1.770249e-12
15.480	6.199049e-09	3.286711e-05	2.574578e-16	1.871233e-12
15.490	6.555001e-09	3.463641e-05	2.720378e-16	1.977996e-12
15.500	6.931384e-09	3.649918e-05	2.874470e-16	2.090869e-12
15.510	7.329370e-09	3.846022e-05	3.037328e-16	2.210204e-12
15.520	7.750197e-09	4.052460e-05	3.209452e-16	2.336370e-12
15.530	8.195172e-09	4.269765e-05	3.391371e-16	2.469760e-12
15.540	8.665680e-09	4.498494e-05	3.583646e-16	2.610788e-12
15.550	9.163182e-09	4.739233e-05	3.786866e-16	2.759893e-12
15.560	9.689225e-09	4.992599e-05	4.001659e-16	2.917538e-12
15.570	1.024544e-08	5.259236e-05	4.228684e-16	3.084214e-12
15.580	1.083356e-08	5.539824e-05	4.468642e-16	3.260439e-12
15.590	1.145540e-08	5.835072e-05	4.722272e-16	3.446761e-12
15.600	1.211290e-08	6.145729e-05	4.990355e-16	3.643760e-12
15.610	1.280810e-08	6.472577e-05	5.273717e-16	3.852049e-12
15.620	1.354315e-08	6.816439e-05	5.573234e-16	4.072275e-12
15.630	1.432033e-08	7.178177e-05	5.889828e-16	4.305126e-12
15.640	1.514205e-08	7.558696e-05	6.224477e-16	4.551325e-12
15.650	1.601086e-08	7.958945e-05	6.578213e-16	4.811639e-12
15.660	1.692944e-08	8.379920e-05	6.952130e-16	5.086878e-12
15.670	1.790064e-08	8.822664e-05	7.347381e-16	5.377901e-12
15.680	1.892746e-08	9.288273e-05	7.765189e-16	5.685613e-12
15.690	2.001309e-08	9.777894e-05	8.206844e-16	6.010973e-12
15.700	2.116087e-08	1.029273e-04	8.673712e-16	6.354994e-12
15.710	2.237435e-08	1.083405e-04	9.167237e-16	6.718749e-12
15.720	2.365729e-08	1.140316e-04	9.688945e-16	7.103372e-12
15.730	2.501365e-08	1.200147e-04	1.024045e-15	7.510060e-12
15.740	2.644760e-08	1.263041e-04	1.082346e-15	7.940082e-12
15.750	2.796359e-08	1.329152e-04	1.143978e-15	8.394777e-12
15.760	2.956627e-08	1.398639e-04	1.209132e-15	8.875563e-12
15.770	3.126059e-08	1.471669e-04	1.278009e-15	9.383940e-12
15.780	3.305177e-08	1.548417e-04	1.350824e-15	9.921491e-12
15.790	3.494533e-08	1.629067e-04	1.427801e-15	1.048989e-11
15.800	3.694709e-08	1.713812e-04	1.509180e-15	1.109092e-11
15.810	3.906321e-08	1.802852e-04	1.595212e-15	1.172644e-11
15.820	4.130020e-08	1.896398e-04	1.686164e-15	1.239844e-11
15.830	4.366493e-08	1.994671e-04	1.782320e-15	1.310902e-11
15.840	4.616466e-08	2.097902e-04	1.883976e-15	1.386039e-11
15.850	4.880707e-08	2.206334e-04	1.991449e-15	1.465489e-11
15.860	5.160026e-08	2.320220e-04	2.105072e-15	1.549500e-11
15.870	5.455279e-08	2.439824e-04	2.225198e-15	1.638334e-11
15.880	5.767372e-08	2.565425e-04	2.352200e-15	1.732269e-11
